ID,Region,OrgSize,Tenure,R45a,R45b,R45c,R45d,R45e,R90a,R90b,R90c,R87a,R87b,R87c,R87d,R87e
1,NorthWest,8,3,5,5,5,5,5,2,2,1,2,1,1,1,1
2,NorthWest,4,6,2,1,2,1,1,5,5,5,6,6,6,6,6
3,NorthWest,4,5,2,1,2,1,2,5,5,5,6,6,6,6,6
4,NorthWest,5,5,2,2,1,1,1,5,5,5,6,6,6,6,6
5,NorthWest,6,13,2,2,1,1,1,5,5,5,6,6,6,6,6
6,NorthWest,7,1,5,5,5,5,4,2,2,2,2,1,1,1,1
7,NorthWest,6,12,5,5,5,4,4,2,2,2,2,1,1,1,1
8,NorthWest,7,9,1,2,1,1,1,5,5,5,6,6,6,6,6
9,NorthWest,5,7,5,5,5,4,4,2,2,2,2,1,1,1,2
10,NorthWest,6,10,5,5,5,4,4,2,2,2,2,2,1,1,2
11,NorthWest,5,15,5,5,5,4,4,2,2,2,2,2,1,1,2
12,NorthWest,5,16,5,5,5,4,4,2,2,2,2,2,1,1,2
13,NorthWest,5,8,1,1,1,1,1,5,5,5,6,6,6,6,6
14,NorthWest,6,9,5,5,5,4,4,2,2,4,2,2,1,1,2
15,NorthWest,4,2,1,1,1,1,1,5,5,5,6,6,6,6,6
16,NorthWest,6,22,1,1,1,1,1,5,5,5,6,6,6,6,6
17,NorthWest,4,3,1,1,1,1,1,5,5,5,6,6,6,6,6
18,NorthWest,8,14,1,1,1,1,1,5,5,5,6,6,6,6,6
19,NorthWest,5,19,1,1,1,1,1,5,5,5,6,6,6,6,6
20,NorthWest,6,14,5,5,4,4,4,2,2,5,2,2,2,1,2
21,NorthWest,5,12,5,5,4,4,4,2,3,4,2,2,2,1,2
22,NorthWest,6,11,5,5,4,4,2,2,4,4,2,2,2,1,2
23,NorthWest,5,7,1,1,1,1,1,5,5,5,6,6,6,6,6
24,NorthWest,5,12,5,5,4,4,2,2,4,5,2,2,2,1,2
25,NorthWest,6,13,5,5,4,4,2,2,4,4,2,2,2,1,2
26,NorthWest,6,17,5,5,4,4,3,2,4,4,3,2,2,1,2
27,NorthWest,6,8,5,5,4,4,2,2,4,4,3,2,2,1,2
28,NorthWest,6,8,5,5,4,4,2,2,3,5,3,2,2,1,2
29,NorthWest,4,14,3,4,3,2,2,2,3,4,3,2,2,1,2
30,NorthWest,4,8,3,2,2,2,1,2,3,4,3,2,2,1,2
31,NorthWest,7,3,4,2,2,2,1,2,3,5,3,2,2,1,2
32,NorthWest,6,28,2,3,2,2,1,2,3,4,3,2,2,1,2
33,NorthWest,8,9,1,4,1,1,1,5,4,5,6,6,6,6,6
34,NorthWest,7,21,1,3,2,1,1,2,4,5,3,2,2,1,2
35,NorthWest,4,12,3,3,3,2,1,2,3,4,3,2,2,1,2
36,NorthWest,8,11,3,2,2,2,1,2,4,4,3,2,2,1,2
37,NorthWest,5,9,2,4,2,2,1,4,5,5,6,6,5,6,6
38,NorthWest,6,8,1,4,2,1,1,5,5,5,6,6,6,6,6
39,NorthWest,6,10,3,2,3,2,1,5,4,5,6,6,6,6,6
40,NorthWest,8,10,3,4,3,2,1,2,3,4,3,2,2,1,2
41,NorthWest,6,11,3,3,2,2,1,2,4,4,3,2,2,2,2
42,NorthWest,8,24,2,2,3,1,2,2,4,4,3,2,2,2,2
43,NorthWest,6,14,2,3,2,1,2,5,5,5,6,6,6,6,6
44,NorthWest,4,12,1,1,2,1,2,5,4,4,6,6,6,6,6
45,NorthWest,5,4,3,3,2,3,2,5,4,4,6,6,6,6,6
46,NorthWest,6,10,2,3,2,1,1,2,3,5,3,2,2,2,2
47,NorthWest,5,33,1,2,1,1,2,5,5,5,6,6,6,6,6
48,NorthWest,6,9,3,3,3,2,1,2,4,4,3,2,2,2,2
49,NorthWest,6,2,2,2,1,1,1,5,5,4,6,6,6,6,6
50,NorthWest,5,2,2,3,2,2,1,5,5,4,6,6,6,6,6
51,NorthWest,8,14,2,2,1,1,1,2,4,4,3,2,2,2,2
52,NorthWest,5,9,3,2,2,2,2,2,4,5,3,2,2,2,2
53,NorthWest,6,15,1,2,3,1,1,2,3,4,3,2,2,2,2
54,NorthWest,6,9,3,3,3,3,2,4,4,4,6,6,6,6,6
55,NorthWest,5,11,1,2,1,2,1,4,4,4,6,5,6,6,6
56,NorthWest,4,4,3,3,1,1,1,3,4,5,3,2,2,2,3
57,NorthWest,4,13,2,2,1,1,2,3,4,3,6,6,6,6,6
58,NorthWest,6,16,3,3,2,1,1,4,4,5,5,6,6,6,4
59,NorthWest,4,15,2,3,2,1,1,3,3,4,3,2,2,2,3
60,NorthWest,8,13,2,3,2,1,2,4,4,5,6,6,6,6,6
61,NorthWest,7,27,3,4,2,1,1,3,3,4,6,6,6,6,5
62,NorthWest,5,11,2,3,4,3,3,4,4,4,6,6,6,5,4
63,NorthWest,5,19,2,3,2,2,1,4,4,4,3,2,2,2,4
64,NorthWest,5,10,3,4,1,2,2,4,4,5,3,2,2,2,4
65,NorthWest,8,5,3,3,3,1,3,3,4,5,6,6,6,6,6
66,NorthWest,5,26,2,2,2,1,1,3,3,3,6,6,6,6,5
67,NorthWest,7,25,3,2,1,2,1,4,5,4,6,6,6,6,5
68,NorthWest,7,12,3,3,2,2,3,4,4,4,3,2,2,2,4
69,NorthWest,5,3,5,4,3,2,1,3,4,5,6,6,6,6,5
70,NorthWest,5,14,1,2,2,2,2,4,3,4,6,6,6,5,5
71,NorthWest,4,9,1,4,3,2,2,4,4,5,6,6,5,5,4
72,NorthWest,6,25,3,3,3,2,1,3,4,5,5,3,4,2,4
73,NorthWest,7,38,3,3,2,2,1,3,4,5,5,5,5,5,5
74,NorthWest,4,3,3,4,3,2,2,3,3,3,5,4,5,4,4
75,NorthWest,8,32,1,3,2,2,1,3,3,4,4,3,4,4,5
76,NorthWest,4,5,3,3,1,1,2,4,5,4,4,3,4,2,3
77,NorthWest,8,14,2,4,3,2,2,3,4,3,5,5,4,5,5
78,NorthWest,6,22,2,2,2,1,1,3,3,3,4,4,4,4,4
79,NorthWest,4,2,2,2,2,2,1,3,3,3,5,4,5,5,4
80,NorthWest,6,2,2,3,2,2,2,4,5,5,4,4,4,3,4
81,NorthWest,4,18,3,4,3,2,1,3,4,4,4,3,3,2,4
82,NorthWest,8,2,2,4,3,2,2,5,5,5,6,5,6,5,6
83,NorthWest,8,11,3,3,3,2,1,3,5,4,4,3,3,2,3
84,NorthWest,4,1,2,3,2,2,1,3,3,5,6,5,6,5,6
85,NorthWest,5,4,3,4,2,2,2,4,5,3,5,3,4,4,4
86,NorthWest,5,12,3,4,2,2,2,4,4,3,5,5,5,4,5
87,NorthWest,4,2,2,2,2,1,2,4,5,5,5,5,4,4,5
88,NorthWest,8,21,3,4,3,3,1,4,4,5,5,4,4,4,4
89,NorthWest,8,4,4,4,2,1,2,4,5,5,5,5,4,4,4
90,NorthWest,8,40,1,2,1,2,1,4,3,3,5,5,5,5,4
91,NorthWest,8,27,2,3,1,1,1,3,4,5,6,5,5,5,5
92,NorthWest,4,4,2,3,2,1,1,4,5,5,5,5,5,5,3
93,NorthWest,7,17,4,4,2,2,1,3,3,4,5,5,5,4,4
94,NorthWest,8,5,1,1,2,1,1,4,4,5,5,5,5,5,5
95,NorthWest,5,2,2,2,3,3,1,4,4,4,5,5,5,5,4
96,NorthWest,4,2,3,3,1,2,1,4,4,3,5,4,4,4,3
97,NorthWest,7,27,2,2,2,1,2,4,4,4,5,5,4,4,5
98,NorthWest,6,16,2,2,1,1,2,3,3,4,5,5,4,4,5
99,NorthWest,7,15,3,4,3,3,3,4,4,5,5,5,5,5,5
100,NorthWest,4,5,3,3,2,2,2,3,5,5,5,4,4,4,5
101,NorthWest,5,4,2,4,1,1,1,3,3,3,4,4,4,4,4
102,NorthWest,6,17,2,3,2,1,1,3,3,3,5,5,4,4,5
103,NorthWest,4,14,3,3,3,2,1,4,5,5,4,4,3,4,4
104,NorthWest,4,6,2,3,2,1,1,4,5,4,4,3,3,3,4
105,NorthWest,5,17,3,3,2,3,2,4,5,5,5,4,4,4,5
106,NorthWest,6,7,1,2,1,1,1,4,5,5,5,4,4,4,5
107,NorthWest,6,11,1,4,2,1,1,3,3,5,4,4,3,4,4
108,NorthWest,8,34,1,1,1,1,1,4,5,5,4,4,4,4,5
109,NorthWest,8,4,4,4,1,3,2,3,3,3,5,5,5,4,5
110,NorthWest,8,26,2,3,2,2,2,3,4,4,5,5,5,4,5
111,NorthWest,7,12,2,2,1,3,2,3,4,3,4,4,4,3,5
112,NorthWest,8,4,3,2,1,1,1,3,4,3,3,3,2,2,3
113,NorthWest,7,4,4,4,3,1,1,4,5,3,4,4,4,3,4
114,NorthWest,8,33,1,1,3,3,2,4,5,5,5,5,5,5,5
115,NorthWest,4,1,4,4,3,3,2,4,5,4,5,4,4,3,5
116,NorthWest,5,7,1,2,1,1,1,3,5,3,4,3,3,2,3
117,NorthWest,4,27,4,4,2,2,1,4,4,5,6,5,5,5,6
118,NorthWest,8,2,1,4,1,1,2,3,3,4,6,5,5,5,6
119,NorthWest,8,20,1,4,2,2,1,3,3,4,4,3,3,2,3
120,NorthWest,7,19,4,3,3,1,1,4,3,4,5,5,5,5,5
121,NorthWest,6,6,3,4,3,2,1,3,4,4,5,4,4,3,5
122,NorthWest,4,2,2,4,3,1,1,4,4,5,5,5,5,5,4
123,NorthWest,8,29,1,3,2,1,1,3,3,4,5,5,5,4,4
124,NorthWest,4,1,3,4,3,1,1,4,5,4,4,4,5,4,4
125,NorthWest,4,2,3,4,3,2,2,4,5,5,4,4,5,4,5
126,NorthWest,8,30,1,2,1,1,1,3,4,3,5,5,5,5,4
127,NorthWest,8,4,1,2,2,2,1,4,3,4,6,6,6,6,6
128,NorthWest,7,25,4,3,4,3,3,3,4,4,4,4,4,3,4
129,NorthWest,6,31,1,2,2,1,1,3,3,4,4,4,4,4,4
130,NorthWest,4,2,3,2,3,1,1,4,4,3,6,6,5,5,6
131,NorthWest,8,1,2,4,4,3,3,3,5,5,5,5,5,4,4
132,NorthWest,8,17,2,2,3,2,2,3,4,5,4,4,4,4,4
133,NorthWest,7,6,4,1,2,1,1,3,4,3,4,4,4,3,5
134,NorthWest,7,8,3,4,4,1,2,4,5,4,5,4,4,3,5
135,NorthWest,4,12,4,4,3,3,3,4,5,5,5,5,5,3,5
136,NorthWest,4,12,2,1,1,2,1,3,5,3,4,5,5,3,5
137,NorthWest,8,30,2,1,1,1,1,3,5,4,4,4,4,4,3
138,NorthWest,4,10,2,3,2,1,1,4,4,3,4,4,4,4,4
139,NorthWest,5,21,2,4,2,1,2,3,3,4,4,5,4,3,5
140,NorthWest,7,32,2,1,2,2,2,3,5,4,4,4,5,4,5
141,NorthWest,4,26,2,1,1,2,2,3,4,4,6,6,5,5,5
142,NorthWest,4,10,3,4,2,3,2,4,4,5,4,4,4,3,3
143,NorthWest,4,4,2,3,4,1,1,4,4,3,4,4,5,4,3
144,NorthWest,8,2,1,2,1,2,2,4,5,5,4,4,4,4,5
